TS,label,value
2017-08-12_00:00:00,N,0
2017-08-13_00:00:00,B,0
2017-08-14_00:00:00,N,0
2017-08-15_00:00:00,A,0
2017-08-16_00:00:00,N,0
2017-08-17_00:00:00,A,0
2017-08-18_00:00:00,N,0
2017-08-19_00:00:00,N,0
2017-08-20_00:00:00,B,0
2017-08-21_00:00:00,B,0
2017-08-22_00:00:00,A,0
2017-08-23_00:00:00,A,0
2017-08-24_00:00:00,B,0
2017-08-25_00:00:00,B,0
2017-08-26_00:00:00,N,0
2017-08-27_00:00:00,B,0
2017-08-28_00:00:00,A,0
2017-08-29_00:00:00,B,0
2017-08-30_00:00:00,N,0
2017-08-31_00:00:00,B,0
2017-09-01_00:00:00,A,0
2017-09-02_00:00:00,N,0
2017-09-03_00:00:00,N,0
2017-09-04_00:00:00,A,0
2017-09-05_00:00:00,B,0
2017-09-06_00:00:00,B,0
2017-09-07_00:00:00,N,0
2017-09-08_00:00:00,A,0
2017-09-09_00:00:00,A,0
2017-09-10_00:00:00,B,0
2017-09-11_00:00:00,N,0
2017-09-12_00:00:00,A,0
2017-09-13_00:00:00,A,0
2017-09-14_00:00:00,B,0
2017-09-15_00:00:00,N,0
2017-09-16_00:00:00,B,0
2017-09-17_00:00:00,B,0
2017-09-18_00:00:00,N,0
2017-09-19_00:00:00,N,0
2017-09-20_00:00:00,A,0
2017-09-21_00:00:00,N,0
2017-09-22_00:00:00,A,0
2017-09-23_00:00:00,A,0
2017-09-24_00:00:00,N,0
2017-09-25_00:00:00,B,0
2017-09-26_00:00:00,N,0
2017-09-27_00:00:00,A,0
2017-09-28_00:00:00,N,0
2017-09-29_00:00:00,A,0
2017-09-30_00:00:00,A,0
2017-10-01_00:00:00,B,0
2017-10-02_00:00:00,B,0
2017-10-03_00:00:00,B,0
2017-10-04_00:00:00,N,0
2017-10-05_00:00:00,N,0
2017-10-06_00:00:00,A,0
2017-10-07_00:00:00,A,0
2017-10-08_00:00:00,B,0
2017-10-09_00:00:00,B,0
2017-10-11_00:00:00,N,0.005982000000131
2017-10-12_00:00:00,B,0
2017-10-13_00:00:00,A,0
2017-10-14_00:00:00,A,0
2017-10-15_00:00:00,N,0
2017-10-16_00:00:00,B,0
2017-10-17_00:00:00,N,0
2017-10-18_00:00:00,N,0
2017-10-19_00:00:00,B,0
2017-10-20_00:00:00,N,0
2017-10-21_00:00:00,B,0
2017-10-22_00:00:00,A,0
2017-10-23_00:00:00,N,0
2017-10-25_00:00:00,B,0.005980999999792
2017-10-26_00:00:00,N,0
2017-10-27_00:00:00,A,0
2017-10-28_00:00:00,N,0
2018-02-25_00:00:00,N,131.601074
2018-04-21_00:00:00,B,55.104981
2018-04-22_00:00:00,B,0
2018-04-23_00:00:00,A,0
2018-04-24_00:00:00,N,0
2018-04-25_00:00:00,B,0
2018-04-26_00:00:00,B,0
2018-04-27_00:00:00,A,0
2018-04-28_00:00:00,A,0
2018-04-29_00:00:00,A,0
2018-04-30_00:00:00,N,0
2018-05-01_00:00:00,A,0
2018-05-02_00:00:00,N,0
2018-05-03_00:00:00,B,0
2018-05-04_00:00:00,B,0
2018-05-05_00:00:00,B,0
2018-05-06_00:00:00,B,0
2018-05-07_00:00:00,A,0
2018-05-08_00:00:00,B,0
2018-05-09_00:00:00,N,0
2018-05-10_00:00:00,A,0
2018-05-11_00:00:00,B,0
2018-05-12_00:00:00,A,0
2018-05-13_00:00:00,A,0
2018-05-21_00:00:00,A,3.16101099999992
2018-05-23_00:00:00,A,0.192016000000194
2018-05-24_00:00:00,N,0
2018-05-25_00:00:00,N,0
2018-05-26_00:00:00,N,0
2018-05-27_00:00:00,N,0
2018-05-28_00:00:00,N,0
2018-05-29_00:00:00,A,0
2018-05-30_00:00:00,B,0
2018-05-31_00:00:00,B,0
2018-06-01_00:00:00,B,0
2018-06-02_00:00:00,N,0
2018-06-03_00:00:00,N,0
2018-06-04_00:00:00,N,0
2018-06-05_00:00:00,A,0
2018-06-06_00:00:00,B,0
2018-06-07_00:00:00,N,0
2018-06-08_00:00:00,N,0
2018-06-09_00:00:00,B,0
2018-06-10_00:00:00,N,0
2018-06-11_00:00:00,A,0
2018-06-12_00:00:00,N,0
2018-06-13_00:00:00,B,0
2018-06-14_00:00:00,B,0
2018-06-15_00:00:00,N,0
2018-06-16_00:00:00,N,0
2018-06-17_00:00:00,A,0
2018-06-18_00:00:00,A,0
2018-06-19_00:00:00,A,0
2018-06-20_00:00:00,B,0
2018-06-21_00:00:00,N,0
2018-06-22_00:00:00,N,0
2018-06-23_00:00:00,B,0
2018-06-24_00:00:00,B,0
2018-06-25_00:00:00,N,0
2018-06-26_00:00:00,A,0
2018-06-27_00:00:00,B,0
2018-06-28_00:00:00,A,0
2018-06-29_00:00:00,A,0
2018-06-30_00:00:00,B,0
2018-07-01_00:00:00,N,0
2018-07-02_00:00:00,B,0
2018-07-03_00:00:00,B,0
2018-07-04_00:00:00,N,0
2018-07-05_00:00:00,B,0
2018-07-06_00:00:00,A,0
2018-07-07_00:00:00,A,0
2018-07-08_00:00:00,N,0
2018-07-09_00:00:00,N,0
2018-07-10_00:00:00,N,0
2018-07-11_00:00:00,B,0
2018-07-12_00:00:00,A,0
2018-07-13_00:00:00,A,0
2018-07-14_00:00:00,A,0
2018-07-15_00:00:00,A,0
2018-07-16_00:00:00,N,0
2018-07-17_00:00:00,N,0
2018-07-18_00:00:00,N,0
2018-07-19_00:00:00,PN,-1301.252075
2018-07-20_00:00:00,PP,1301.25
2018-07-21_00:00:00,PN,-1301.25
2018-07-22_00:00:00,N,0
2018-07-23_00:00:00,A,0
2018-07-24_00:00:00,N,0
2018-07-25_00:00:00,N,0
2018-07-26_00:00:00,N,0
2018-07-27_00:00:00,PP,1301.25
2018-07-28_00:00:00,PN,-1301.25
2018-07-29_00:00:00,N,0
2018-07-30_00:00:00,A,0
2018-07-31_00:00:00,A,0
2018-08-01_00:00:00,A,0
2018-08-02_00:00:00,N,0
2018-08-03_00:00:00,PP,1301.25
2018-08-04_00:00:00,PN,-1301.25
2018-08-05_00:00:00,N,0
2018-08-06_00:00:00,A,0
2018-08-07_00:00:00,N,0
2018-08-08_00:00:00,N,0
2018-08-09_00:00:00,N,0
2018-08-10_00:00:00,PP,1301.25
2018-08-11_00:00:00,PN,-1301.25
2018-08-12_00:00:00,N,0
2018-08-13_00:00:00,N,0
2018-08-14_00:00:00,B,0
2018-08-15_00:00:00,N,0
2018-08-16_00:00:00,N,0
2018-08-17_00:00:00,PP,1301.25
2018-08-18_00:00:00,PN,-1301.25
2018-08-19_00:00:00,N,0
2018-08-20_00:00:00,N,0
2018-08-21_00:00:00,B,0
2018-08-22_00:00:00,A,0
2018-08-23_00:00:00,N,0
2018-08-24_00:00:00,PP,1301.25
2018-08-25_00:00:00,PN,-1301.25
2018-08-26_00:00:00,N,0
2018-08-27_00:00:00,N,0
2018-08-28_00:00:00,N,0
2018-08-29_00:00:00,A,0
2018-08-30_00:00:00,N,0
2018-08-31_00:00:00,PP,1301.25
2018-09-01_00:00:00,PN,-1301.25
2018-09-02_00:00:00,N,0
2018-09-03_00:00:00,A,0
2018-09-04_00:00:00,N,0
2018-09-05_00:00:00,A,0
2018-09-06_00:00:00,A,0
2018-09-07_00:00:00,N,0
2018-09-08_00:00:00,N,0
2018-09-09_00:00:00,A,0
2018-09-10_00:00:00,B,0
2018-09-11_00:00:00,B,0
2018-09-12_00:00:00,N,0
2018-09-13_00:00:00,A,0
2018-09-14_00:00:00,N,0
2018-09-15_00:00:00,N,0
2018-09-16_00:00:00,N,0
2018-09-17_00:00:00,N,0
2018-09-18_00:00:00,N,0
2018-09-19_00:00:00,B,0
2018-09-20_00:00:00,N,0
2018-09-21_00:00:00,N,0
2018-09-22_00:00:00,B,0
2018-09-23_00:00:00,N,0
2018-09-28_00:00:00,PP,1301.25
2018-09-29_00:00:00,N,0
2014-10-02_00:00:00,A,1.38964899999974
2014-10-03_00:00:00,A,1.2700190000005
2014-10-04_00:00:00,B,1.05029300000024
2014-10-05_00:00:00,A,1.1196289999998
2014-10-06_00:00:00,A,1.55029299999933
2014-10-07_00:00:00,B,1.62011700000039
2014-10-08_00:00:00,N,1.63964899999974
2014-10-09_00:00:00,N,1.66992100000061
2014-10-10_00:00:00,N,1.5
2014-10-11_00:00:00,A,1.29003999999986
2014-10-12_00:00:00,B,1.34033199999976
2014-10-13_00:00:00,A,1.60986299999968
2014-10-14_00:00:00,A,1.58984400000009
2014-10-15_00:00:00,A,1.70996100000048
2014-10-16_00:00:00,A,1.64013599999998
2014-10-17_00:00:00,N,1.54003899999952
2014-10-18_00:00:00,N,1.27001999999993
2014-10-19_00:00:00,N,1.33984400000009
2014-10-20_00:00:00,N,1.49023399999987
2014-10-21_00:00:00,A,1.60986300000059
2014-10-22_00:00:00,A,1.79003899999952
2014-10-23_00:00:00,B,1.75
2014-10-24_00:00:00,N,1.72021500000028
2014-10-25_00:00:00,N,1.37988299999961
2014-10-26_00:00:00,N,1.41992200000004
2014-10-27_00:00:00,A,1.41015600000083
2014-10-28_00:00:00,B,1.50976599999922
2014-10-29_00:00:00,N,1.43017500000042
2014-10-30_00:00:00,B,1.5
2014-10-31_00:00:00,A,1.92968800000017
2014-11-01_00:00:00,B,2.2602539999998
2014-11-02_00:00:00,A,2.41015599999991
2014-11-03_00:00:00,N,2.4897460000002
2014-11-04_00:00:00,N,3.87988299999961
2014-11-05_00:00:00,B,4.77001999999993
2014-11-06_00:00:00,A,4.95019500000035
2014-11-07_00:00:00,N,4.79980499999965
2014-11-08_00:00:00,B,4.03027300000031
2014-11-09_00:00:00,N,4.58984400000008
2014-11-10_00:00:00,N,4.70996099999957
2014-11-11_00:00:00,B,4.28027300000031
2014-11-12_00:00:00,B,4.68994199999997
2014-11-13_00:00:00,B,4.62988200000018
2014-11-14_00:00:00,B,4.02978600000006
2014-11-15_00:00:00,A,4.22021399999994
2014-11-16_00:00:00,A,4.77001999999993
2014-11-17_00:00:00,N,5.35986299999968
2014-11-18_00:00:00,A,4.95996100000048
2014-11-19_00:00:00,A,5.16015599999992
2014-11-20_00:00:00,B,4.58984400000008
2014-11-21_00:00:00,A,3.54003899999952
2014-11-22_00:00:00,B,2.85009799999989
2014-11-23_00:00:00,B,2.91015600000082
2014-11-24_00:00:00,B,3.02978499999972
2014-11-25_00:00:00,N,3.43994199999997
2014-11-26_00:00:00,A,3.84033199999976
2014-11-27_00:00:00,B,4.09960899999987
2014-11-28_00:00:00,A,3.24023399999987
2014-11-29_00:00:00,B,3
2014-11-30_00:00:00,A,3.52978600000006
2014-12-01_00:00:00,B,5.95996100000048
2014-12-02_00:00:00,N,7.29003899999952
2014-12-03_00:00:00,A,7.85009700000046
2014-12-04_00:00:00,B,7.25
2014-12-05_00:00:00,N,6.95019599999978
2014-12-06_00:00:00,A,7.4199209999997
2014-12-07_00:00:00,A,7.58984400000008
2014-12-08_00:00:00,A,6.35009799999989
2014-12-09_00:00:00,N,8.20019500000035
2014-12-10_00:00:00,B,7.54003900000043
2014-12-11_00:00:00,A,6.07958999999937
2014-12-12_00:00:00,A,6.47998100000041
2014-12-13_00:00:00,A,5.59033199999976
2014-12-14_00:00:00,B,6.12988200000018
2014-12-15_00:00:00,A,6.41015700000025
2014-12-16_00:00:00,N,6.54980399999931
2014-12-17_00:00:00,N,6.16015700000025
2014-12-18_00:00:00,N,5.61962800000038
2014-12-19_00:00:00,N,5.21044999999958
2014-12-20_00:00:00,N,5.05957000000035
2014-12-21_00:00:00,A,6.45019499999944
2014-12-22_00:00:00,A,7.27978500000063
2014-12-23_00:00:00,N,7.05029299999933
2014-12-24_00:00:00,N,7.31982500000049
2014-12-25_00:00:00,B,6.31005800000003
2014-12-26_00:00:00,N,6.06005899999946
2014-12-27_00:00:00,B,6.10009700000046
2014-12-28_00:00:00,N,8.04980499999965
2014-12-29_00:00:00,A,10.0302740000007
2014-12-30_00:00:00,A,9.29003899999952
2014-12-31_00:00:00,B,9.43994100000054
2015-01-01_00:00:00,A,9.5
2015-01-02_00:00:00,B,9.13964899999974
2015-01-03_00:00:00,N,7.72021399999994
2015-01-04_00:00:00,A,6.12011799999982
2015-01-05_00:00:00,A,7.60986299999968
2015-01-06_00:00:00,A,8.12011700000039
2015-01-07_00:00:00,A,6.87011700000039
2015-01-08_00:00:00,N,7.29980499999965
2015-01-09_00:00:00,B,5.27978499999972
2015-01-10_00:00:00,A,5.2602539999998
2015-01-11_00:00:00,A,5.89990200000011
2015-01-12_00:00:00,N,7.41992200000004
2015-01-13_00:00:00,B,6.14013700000032
2015-01-14_00:00:00,A,5.33007799999996
2015-01-15_00:00:00,A,5.52001999999993
2015-01-16_00:00:00,A,5.95996000000014
2015-01-17_00:00:00,A,6.5
2015-01-18_00:00:00,N,7.20996099999957
2015-01-19_00:00:00,A,7.43017600000076
2015-01-20_00:00:00,A,8.13964899999974
2015-01-21_00:00:00,B,8.43994099999964
2015-01-22_00:00:00,A,7.72998100000041
2015-01-23_00:00:00,N,9.34033199999976
2015-01-24_00:00:00,A,8.58984299999975
2015-01-25_00:00:00,B,8.74023500000021
2015-01-26_00:00:00,N,8.39990200000011
2015-01-27_00:00:00,B,7.96972699999969
2015-01-28_00:00:00,N,7.32031200000074
2015-01-29_00:00:00,B,6.3999019999992
2015-01-30_00:00:00,A,7.48974700000053
2015-01-31_00:00:00,B,7.95996000000014
2015-02-01_00:00:00,A,8.96044999999958
2015-02-02_00:00:00,B,9.12988200000018
2015-02-03_00:00:00,A,9.92968800000017
2015-02-04_00:00:00,N,10.3203119999998
2015-02-05_00:00:00,N,10.6796880000002
2015-02-06_00:00:00,B,10.330078
2015-02-07_00:00:00,A,9.22021499999937
2015-02-08_00:00:00,A,9.15966800000024
2015-02-09_00:00:00,A,8.7700190000005
2015-02-10_00:00:00,A,8.20019599999978
2015-02-11_00:00:00,A,7.60009699999955
2015-02-12_00:00:00,N,6.31982500000049
2015-02-13_00:00:00,A,5.72998000000007
2015-02-14_00:00:00,A,5.43994199999997
2015-02-15_00:00:00,N,5.70996000000014
2015-02-16_00:00:00,B,6.10009799999989
2015-02-17_00:00:00,N,5.79003899999952
2015-02-18_00:00:00,B,6.14990300000045
2015-02-19_00:00:00,N,6.17040999999972
2015-02-20_00:00:00,B,5.8696289999998
2015-02-21_00:00:00,N,5.97998000000007
2015-02-22_00:00:00,N,7.66015599999992
2015-02-23_00:00:00,B,6.27001999999993
2015-02-24_00:00:00,A,7.68994100000054
2015-02-25_00:00:00,A,7.31982400000015
2015-02-26_00:00:00,N,6.03027399999974
2015-02-27_00:00:00,N,6.87011700000039
2015-02-28_00:00:00,N,6.37988299999961
2015-03-01_00:00:00,B,4.66992200000004
2015-03-02_00:00:00,B,4.83984400000008
2015-03-03_00:00:00,N,5
2015-03-04_00:00:00,B,6.70996000000014
2015-03-05_00:00:00,N,3.42041100000006
2015-03-17_00:00:00,B,67.1098629999997
2015-03-18_00:00:00,B,4.85986299999968
2015-03-19_00:00:00,N,4.28027400000065
2015-03-20_00:00:00,A,4.1699209999997
2015-03-21_00:00:00,N,4.29980499999965
2015-03-22_00:00:00,N,5.26025400000071
2015-03-23_00:00:00,A,4.98974599999929
2015-03-24_00:00:00,N,5.28027400000065
2015-03-25_00:00:00,N,6.97998000000007
2015-03-26_00:00:00,N,6.27978499999972
